DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
1/13/2022,14,6534.08,6872.4,6615.8,6010.6,N
1/13/2022,15,6739.44,7045.3,6890.4,6220.7,N
1/13/2022,16,6880.54,6974.4,6680.3,5942.9,N
1/13/2022,17,5677.94,4860.5,4874.5,4048.8,N
1/13/2022,18,1439.28,926.9,1087.4,676.2,N
1/13/2022,19,3.28,3.2,12.1,8.9,N
1/13/2022,20,0.14,0,0,0,N
1/13/2022,21,0.15,0,0,0,N
1/13/2022,22,0.16,0,0,0,N
1/13/2022,23,0.16,0,0,0,N
1/14/2022,0,0.19,0,0,0,N
1/14/2022,1,0.16,0,0,0,N
1/14/2022,2,0.16,0,0,0,N
1/14/2022,3,0.16,0,0,0,N
1/14/2022,4,0.16,0,0,0,N
1/14/2022,5,0.16,0,0,0,N
1/14/2022,6,0.16,0,0,0,N
1/14/2022,7,0.17,0,0,0,N
1/14/2022,8,48.04,54.7,51.8,27.2,N
1/14/2022,9,2013.55,1350.3,1247.3,827.2,N
1/14/2022,10,4806.89,4715.6,5529.6,4306.6,N
1/14/2022,11,5811.38,5799.3,6326.6,5088.3,N
1/14/2022,12,5488.21,6091.9,5935.3,4812,N
1/14/2022,13,3937.53,6225.8,5936.1,5031.8,N
1/14/2022,14,4282.77,6126.7,5707.5,4768.4,N
1/14/2022,15,5213.65,6016.8,5544.2,4510.1,N
1/14/2022,16,5018.25,5162.8,5254.8,4063.6,N
1/14/2022,17,3847.16,3544,3723.4,2526.9,N
1/14/2022,18,911.7,771.1,848.7,447.6,N
1/14/2022,19,2.31,3.7,8,4.7,N
1/14/2022,20,0.29,0,0,0,N
1/14/2022,21,0.29,0,0,0,N
1/14/2022,22,0.21,0,0,0,N
1/14/2022,23,0.19,0,0,0,N
1/15/2022,0,0.13,0,0,0,N
1/15/2022,1,0.19,0,0,0,N
1/15/2022,2,0.18,0,0,0,N
1/15/2022,3,0.18,0,0,0,N
1/15/2022,4,0.18,0,0,0,N
1/15/2022,5,0.18,0,0,0,N
1/15/2022,6,0.18,0,0,0,N
1/15/2022,7,0.18,0,0,0,N
1/15/2022,8,13.8,37.6,42.4,18.3,N
1/15/2022,9,829.51,1298.1,1148.5,742.8,N
1/15/2022,10,2126.81,5461.7,5099.1,3869.1,N
1/15/2022,11,2482.76,6616.8,6036.5,5048,N
1/15/2022,12,2698.08,6573.1,5849.7,5058.6,N
1/15/2022,13,2712.96,6363.5,5750.6,5046.6,N
1/15/2022,14,2806.19,6184.8,5636.4,4899.6,N
1/15/2022,15,2684.03,6180.4,5728.2,5001.7,N
1/15/2022,16,2414.87,5956.7,5682.2,4862.3,N
1/15/2022,17,2166.19,4434.6,4367.8,3507.5,N
1/15/2022,18,728.98,960.9,1110.4,695.4,N
1/15/2022,19,1.51,6.2,15.7,10.9,N
1/15/2022,20,0.13,0,0,0,N
1/15/2022,21,0.13,0,0,0,N
1/15/2022,22,0.13,0,0,0,N
1/15/2022,23,0.14,0,0,0,N
1/16/2022,0,0.2,0,0,0,N
1/16/2022,1,0.13,0,0,0,N
1/16/2022,2,0.13,0,0,0,N
1/16/2022,3,0.13,0,0,0,N
1/16/2022,4,0.13,0,0,0,N
1/16/2022,5,0.13,0,0,0,N
1/16/2022,6,0.13,0,0,0,N
1/16/2022,7,0.13,0,0,0,N
1/16/2022,8,61.23,70.5,68.4,41.8,N
1/16/2022,9,2660.45,1696,1547.8,1117.3,N
1/16/2022,10,6846.28,6076,6602.1,5612.9,N
1/16/2022,11,7290.2,7157.5,7628.8,6725.2,N
1/16/2022,12,7017.87,7140.2,7039,6317.7,N
1/16/2022,13,6782.14,6908.5,6774.1,6183.4,N
1/16/2022,14,6782.7,6948.2,6806.9,6200,N
1/16/2022,15,7048.97,7213.9,7011.9,6373.8,N
1/16/2022,16,7180.15,7158.9,6964,6237.7,N
1/16/2022,17,5948.38,5239.6,5217.5,4351,N
1/16/2022,18,1535.46,1087.8,1243.3,814.4,N
1/16/2022,19,2.2,5.7,17.8,12.5,N
1/16/2022,20,0.19,0,0,0,N
1/16/2022,21,0.19,0,0,0,N
1/16/2022,22,0.19,0,0,0,N
1/16/2022,23,0.19,0,0,0,N
1/17/2022,0,0.12,0,0,0,N
1/17/2022,1,0.19,0,0,0,N
1/17/2022,2,0.2,0,0,0,N
1/17/2022,3,0.19,0,0,0,N
1/17/2022,4,0.19,0,0,0,N
1/17/2022,5,0.19,0,0,0,N
1/17/2022,6,0.19,0,0,0,N
1/17/2022,7,0.19,0,0,0,N
1/17/2022,8,71.06,67.5,70.4,38,N
1/17/2022,9,2639.52,1700.5,1579,1116.1,N
1/17/2022,10,6571.41,6062.2,6693.4,5749.3,N
1/17/2022,11,6982.43,7102.5,7511.4,6689.9,N
1/17/2022,12,6703.14,7055.8,6794.4,6115.1,N
1/17/2022,13,6469.29,6777.2,6473.4,5832.7,N
1/17/2022,14,6388.22,6640.6,6518.9,5876.4,N
1/17/2022,15,6404.1,6747.7,6589.6,5846.9,N
1/17/2022,16,5547.47,6423.9,6185.6,5165.3,N
1/17/2022,17,3903.92,4457,4302.4,3235.9,N
1/17/2022,18,1302.41,893.2,845.9,424.5,N
1/17/2022,19,11.68,6.3,17.1,10.7,N
1/17/2022,20,0.12,0,0,0,N
1/17/2022,21,0.12,0,0,0,N
1/17/2022,22,0.12,0,0,0,N
1/17/2022,23,0.12,0,0,0,N
1/18/2022,0,0.16,0,0,0,N
1/18/2022,1,0.12,0,0,0,N
1/18/2022,2,0.12,0,0,0,N
1/18/2022,3,0.13,0,0,0,N
1/18/2022,4,0.12,0,0,0,N
1/18/2022,5,0.12,0,0,0,N
1/18/2022,6,0.12,0,0,0,N
1/18/2022,7,0.12,0,0,0,N
1/18/2022,8,38.58,49.8,52,25.4,N
1/18/2022,9,1969.64,1405,1297.2,866.3,N
1/18/2022,10,4679.22,5143.7,5551.3,4367.2,N
1/18/2022,11,5609.26,6354.8,6634.4,5602.2,N
1/18/2022,12,5077.76,6416.2,6124.3,5215.9,N
1/18/2022,13,3632.23,6394.6,6156.9,5450.8,N
1/18/2022,14,3414.29,6303.3,6055.7,5400,N
1/18/2022,15,3378.66,6485.8,5935,5165.2,N
1/18/2022,16,3491.13,6128.9,5540.5,4686.6,N
1/18/2022,17,3164.55,4182,4017.2,3055.1,N
