OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
1/10/2022,12:00,17351.75,11981.09,5988.89,11423.37,46745.11,N
1/10/2022,13:00,16417.31,11539.64,5871.52,11318.25,45146.71,N
1/10/2022,14:00,15697.92,11176.23,5765.01,11235.04,43874.21,N
1/10/2022,15:00,15027.37,10830.46,5683.44,11120.68,42661.96,N
1/10/2022,16:00,14665.44,10689.24,5600.53,11026.5,41981.71,N
1/10/2022,17:00,15011.21,10883.16,5635.67,11035.5,42565.53,N
1/10/2022,18:00,16027.72,11559.7,5792.8,11304.53,44684.75,N
1/10/2022,19:00,17251.55,12466.28,6027.98,11728.52,47474.34,N
1/10/2022,20:00,17440.17,12605.69,6079.81,11742.34,47868.01,N
1/10/2022,21:00,17589.8,12481.1,6079.35,11654.58,47804.83,N
1/10/2022,22:00,17387.79,12159.97,6042.74,11386.53,46977.04,N
1/10/2022,23:00,16753.77,11559.75,5934.95,10940.98,45189.45,N
1/11/2022,0:00:00,14811.59,10977.41,5730.4,10420.06,41939.46,N
1/11/2022,1:00,15993.93,10637.25,5741.42,10225.39,42597.99,N
1/11/2022,2:00,16076.13,10537.18,5749.16,10095.18,42457.64,N
1/11/2022,3:00,16251.76,10527.9,5770.57,10064.92,42615.15,N
1/11/2022,4:00,16640.63,10631.45,5790.81,10205.84,43268.74,N
1/11/2022,5:00,17261.73,10892.99,5820.4,10384.27,44359.4,N
1/11/2022,6:00,18585.96,11632.37,5930.61,11037.14,47186.08,N
1/11/2022,7:00,20386.39,12790.33,6082.76,11878.97,51138.45,N
1/11/2022,8:00,21305.94,13342.41,6165.36,12294.5,53108.22,N
1/11/2022,9:00,20647.95,13159.68,6114.73,12407.75,52330.11,N
1/11/2022,10:00,19198.53,12905,6033.18,12356.78,50493.49,N
1/11/2022,11:00,17889.76,12671.89,5941.67,12191.57,48694.89,N
1/11/2022,12:00,17033.39,12550.4,5862.22,11982.69,47428.7,N
1/11/2022,13:00,16315.18,12399.19,5760.97,11750.14,46225.49,N
1/11/2022,14:00,15776.03,12227.08,5681.32,11567.32,45251.74,N
1/11/2022,15:00,15449.57,12078.74,5607.53,11365.44,44501.28,N
1/11/2022,16:00,15327.86,12117.2,5585.78,11386.98,44417.82,N
1/11/2022,17:00,15713.5,12349.44,5604.41,11530.15,45197.5,N
1/11/2022,18:00,16475.17,12777.78,5715.91,11846.4,46815.26,N
1/11/2022,19:00,17132.23,13250.79,5927.12,12038.08,48348.21,N
1/11/2022,20:00,17183.81,13148.72,5950.55,11902.99,48186.07,N
1/11/2022,21:00,17107.49,12898.37,5971.05,11740.32,47717.22,N
1/11/2022,22:00,16512.39,12410.93,5938.66,11430.3,46292.27,N
1/11/2022,23:00,15568.35,11650.12,5833.73,10888.46,43940.67,N
1/12/2022,0:00:00,13595.55,10460.01,5627.17,10236.02,39918.75,N
1/12/2022,1:00,14315.8,10449.55,5704.42,10037.9,40507.67,N
1/12/2022,2:00,14176.5,10175.44,5690.69,9866.08,39908.71,N
1/12/2022,3:00,14105.66,10004.92,5688.12,9791.89,39590.59,N
1/12/2022,4:00,14249.31,10051.46,5735.54,9886.85,39923.16,N
1/12/2022,5:00,14816.13,10316,5811.48,10050.23,40993.83,N
1/12/2022,6:00,15961.54,10919.59,5953.74,10597.04,43431.92,N
1/12/2022,7:00,17589.34,11869.71,6170.82,11332.9,46962.79,N
1/12/2022,8:00,18579.84,12429.68,6271.05,11741.74,49022.31,N
1/12/2022,9:00,18240.85,12414.09,6173.93,11861.36,48690.23,N
1/12/2022,10:00,17248.02,12244.67,5980.78,11961.03,47434.51,N
1/12/2022,11:00,16335.7,11917.83,5856.47,12019.82,46129.81,N
1/12/2022,12:00,15484.82,11449.45,5723.7,11920.46,44578.43,N
1/12/2022,13:00,14805.83,10971.95,5620.73,11654.32,43052.82,N
1/12/2022,14:00,14233.57,10486.17,5531.53,11375.68,41626.95,N
1/12/2022,15:00,13703.46,10233.36,5481.32,11205.58,40623.72,N
1/12/2022,16:00,13456.25,10165.3,5462.51,11135.39,40219.44,N
1/12/2022,17:00,13598.36,10301.18,5483.71,11145.47,40528.73,N
1/12/2022,18:00,14254.56,10759.4,5558.95,11388.04,41960.94,N
1/12/2022,19:00,15222.77,11515.87,5755.64,11589.19,44083.46,N
1/12/2022,20:00,15355.49,11657.21,5765.92,11450.04,44228.66,N
1/12/2022,21:00,15318,11607.35,5760.07,11324.9,44010.32,N
1/12/2022,22:00,14913.45,11416.09,5757.69,11049.59,43136.83,N
1/12/2022,23:00,14189.85,10954.62,5691.62,10620.89,41456.98,N
1/13/2022,0:00:00,12335.08,9466.02,5407.69,9746.35,36955.14,N
1/13/2022,1:00,13269.24,10228.24,5612.45,9952.81,39062.73,N
1/13/2022,2:00,13081.96,10159.17,5639.47,9851.1,38731.7,N
1/13/2022,3:00,13240.06,10241.87,5696.96,9837.31,39016.2,N
1/13/2022,4:00,13481.93,10434.09,5751.58,9987.61,39655.22,N
1/13/2022,5:00,14099.93,10858.26,5832.56,10226.06,41016.81,N
1/13/2022,6:00,15234.18,11641.18,5963.97,10855.95,43695.28,N
1/13/2022,7:00,16921.53,12819.53,6140.65,11712.78,47594.49,N
1/13/2022,8:00,17909.9,13376.62,6231.66,12065.74,49583.91,N
1/13/2022,9:00,17388.49,12903.38,6137.86,11949.76,48379.49,N
1/13/2022,10:00,16386.25,11965.77,5891.23,11657.24,45900.49,N
1/13/2022,11:00,15446.82,11201.41,5720.15,11328.28,43696.66,N
1/13/2022,12:00,14626.07,10605.56,5588.05,11107.31,41926.99,N
1/13/2022,13:00,14034.3,10224.31,5487.42,10974.58,40720.61,N
1/13/2022,14:00,13689.98,10056.46,5451.95,10948.8,40147.18,N
1/13/2022,15:00,13436.13,10059.6,5408.39,10910.79,39814.91,N
1/13/2022,16:00,13314.82,10157.26,5416.17,10891.57,39779.82,N
1/13/2022,17:00,13410.92,10340.7,5425.06,10862.43,40039.11,N
1/13/2022,18:00,13709.16,10597.27,5444.92,10856.61,40607.96,N
1/13/2022,19:00,14318.74,11037.93,5615.54,11046.08,42018.29,N
1/13/2022,20:00,14265.53,10992.62,5621.57,10949.79,41829.51,N
1/13/2022,21:00,14058.58,10781.65,5610.31,10798.61,41249.15,N
1/13/2022,22:00,13703.5,10486.23,5546.3,10569.94,40305.98,N
1/13/2022,23:00,13010.93,9997.27,5467.38,10186.36,38661.94,N
1/14/2022,0:00:00,12524,9299.44,5459.31,9936.53,37219.28,N
1/14/2022,1:00,12036.88,9156.29,5405.31,9469.81,36068.29,N
1/14/2022,2:00,12011.19,9062.4,5448.71,9381.81,35904.1,N
1/14/2022,3:00,12131.63,9089.24,5512.09,9416.7,36149.66,N
1/14/2022,4:00,12392.17,9280.01,5556.34,9584.51,36813.04,N
1/14/2022,5:00,12998.89,9663.4,5612.61,9820.24,38095.14,N
1/14/2022,6:00,14202.5,10439.53,5736.23,10449.62,40827.88,N
1/14/2022,7:00,15867.66,11629.56,5939.1,11301.42,44737.74,N
1/14/2022,8:00,16884.2,12363.7,6094.3,11767.66,47109.87,N
1/14/2022,9:00,16791.34,12156.92,6046.87,11788.56,46783.69,N
1/14/2022,10:00,16020.39,11455.76,5893.73,11615.21,44985.1,N
1/14/2022,11:00,15220.9,10876.81,5721.59,11492.03,43311.33,N
1/14/2022,12:00,14712.77,10398.49,5603.4,11353.89,42068.55,N
1/14/2022,13:00,14384.69,10174.47,5558.56,11294.89,41412.61,N
1/14/2022,14:00,14056.43,10160.09,5540.41,11346.11,41103.04,N
1/14/2022,15:00,13801.84,10233.35,5514.97,11353.47,40903.62,N
1/14/2022,16:00,13563.86,10295.67,5444.67,11353.08,40657.28,N
1/14/2022,17:00,13601.38,10421.26,5405.47,11312.07,40740.18,N
1/14/2022,18:00,13855.12,10500.96,5383.25,11255.61,40994.94,N
1/14/2022,19:00,14306.87,10801.53,5549.8,11355.98,42014.18,N
1/14/2022,20:00,14079.86,10693.39,5587.88,11151.93,41513.06,N
1/14/2022,21:00,13879.77,10433.17,5587.88,10940.46,40841.29,N
1/14/2022,22:00,13464.08,10131.16,5538.12,10662.24,39795.6,N
1/14/2022,23:00,12922.68,9745.29,5476.09,10308.45,38452.52,N
1/15/2022,0:00:00,19536.51,11930.18,5959.04,12176.66,49602.39,N
1/15/2022,1:00,12235.51,8876.34,5415.55,9602.12,36129.53,N
1/15/2022,2:00,12303.03,8603.41,5429.15,9356.47,35692.07,N
1/15/2022,3:00,12612.04,8496.14,5485.52,9206.44,35800.14,N
1/15/2022,4:00,13094.83,8505.44,5563.87,9197.43,36361.57,N
1/15/2022,5:00,13735.44,8762.7,5656.01,9186.95,37341.09,N
1/15/2022,6:00,14713.67,9237.21,5755.61,9363.5,39070,N
1/15/2022,7:00,16020.2,9853.23,5877.93,9714,41465.35,N
1/15/2022,8:00,17432.41,10576.86,5967.52,10217.37,44194.16,N
1/15/2022,9:00,18518.93,11227.75,6016.57,10747,46510.26,N
1/15/2022,10:00,19341.74,11640.61,6051.02,11299.42,48332.79,N
1/15/2022,11:00,19808.79,11625.08,6066.58,11640.16,49140.61,N
1/15/2022,12:00,19994.49,11527.82,6038.08,11756.95,49317.34,N
1/15/2022,13:00,20090.78,11292.72,6033.47,11670.08,49087.05,N
1/15/2022,14:00,20236.01,11048.65,6004.4,11490.56,48779.62,N
1/15/2022,15:00,20422.36,10844.83,5982.83,11272.13,48522.15,N
1/15/2022,16:00,20649.31,10824.63,5954.43,11156.95,48585.32,N
1/15/2022,17:00,20970.59,11026.99,5966.83,11281.63,49246.04,N
1/15/2022,18:00,21698.37,11514.55,5969.34,11766.02,50948.28,N
1/15/2022,19:00,22175.95,12271.53,6085.84,12442.3,52975.62,N
